Colour (TCU),Turbidity (NTU),pH,Conductivity (uS/cm),Total Dissolved Solids (mg/l),Total Hardness (mg/l as CaCO3),Aluminium (mg/l),Chloride (mg/l),Total Iron (mg/l),Sodium (mg/l),Sulphate (mg/l),Zinc (mg/l),Magnesium (mg/l),Calcium (mg/l),Potassium (mg/l),Nitrate (mg/l),Phosphate (mg/l),Potability
4.38,1.2,7.56,417.14,64.17,212.61,0.1,202.54,0.0,167.27,307.21,1.26,35.6,131.91,20.68,43.46,1.92,potable
3.82,2.66,7.05,748.97,193.17,70.1,0.07,116.94,0.02,34.46,284.26,0.3,48.31,97.87,1.81,8.38,0.83,potable
11.39,1.25,7.76,1192.77,790.49,28.01,0.09,150.37,0.14,67.77,192.75,4.38,20.35,50.31,24.92,12.99,0.74,potable
3.96,1.34,7.06,168.84,581.71,292.42,0.04,217.43,0.03,93.47,144.43,1.52,50.93,18.48,18.04,4.77,2.0,potable
10.97,4.77,8.18,748.33,32.92,249.2,0.03,135.97,0.25,80.14,381.44,1.05,85.78,98.11,7.47,43.67,0.17,potable
14.1,2.8,7.97,411.42,681.54,50.38,0.04,86.32,0.01,154.78,343.39,0.43,57.85,109.07,45.72,6.3,0.33,potable
10.83,4.81,8.14,335.74,804.95,41.58,0.04,202.34,0.13,176.36,48.5,4.8,9.97,60.27,22.82,20.36,0.8,potable
0.21,3.38,7.68,428.56,111.19,247.88,0.2,23.25,0.16,146.14,22.94,1.63,75.72,93.16,40.58,37.11,1.28,potable
2.45,0.68,6.5,146.95,88.99,34.57,0.19,184.99,0.14,60.5,121.0,0.69,48.47,113.53,18.38,28.73,2.1,potable
13.27,3.03,8.31,204.95,969.34,177.16,0.09,239.54,0.28,138.18,232.97,3.18,73.63,64.04,47.93,31.91,1.42,potable
2.51,4.13,6.75,1447.61,324.66,95.4,0.16,58.71,0.02,94.42,74.13,2.72,42.38,131.21,20.52,6.15,1.22,potable
6.91,1.89,7.44,857.08,494.41,236.17,0.16,136.3,0.02,197.07,376.73,1.45,45.47,104.09,29.35,32.86,0.14,potable
13.92,2.14,7.76,462.33,766.35,64.35,0.16,100.96,0.08,190.26,209.15,2.38,57.72,73.68,42.18,3.36,2.16,potable
1.97,0.06,7.16,187.7,67.84,239.38,0.18,217.01,0.21,142.68,66.59,4.33,42.06,114.46,16.02,39.76,0.6,potable
3.42,2.72,7.13,130.37,485.67,105.92,0.07,114.12,0.24,67.48,280.11,4.95,76.18,85.76,20.39,42.19,1.37,potable
8.36,3.85,7.0,1283.46,564.26,152.53,0.05,194.61,0.23,12.0,378.41,4.05,90.9,100.3,6.35,31.48,2.07,potable
9.0,4.11,6.58,384.62,564.32,30.13,0.02,59.34,0.1,167.59,77.64,4.08,91.38,97.91,4.37,11.71,0.3,potable
8.47,3.04,7.97,917.59,271.88,211.64,0.08,193.76,0.2,163.43,296.64,2.99,33.49,77.46,22.14,44.03,1.81,potable
2.03,1.04,7.78,1489.36,50.39,60.38,0.13,96.34,0.21,25.7,147.82,2.2,96.22,88.82,37.82,40.01,0.25,potable
13.97,2.51,6.85,733.46,645.2,296.68,0.07,66.49,0.23,191.92,266.37,1.31,64.49,87.8,33.37,33.67,0.31,potable
6.2,3.19,7.46,647.54,106.59,140.49,0.08,84.05,0.03,73.49,20.23,0.17,92.43,79.71,47.65,11.12,0.23,potable
12.18,2.88,8.03,1231.42,465.13,22.48,0.11,159.9,0.19,80.36,128.29,3.55,14.21,36.87,9.13,22.11,0.78,potable
7.41,1.99,7.97,1488.92,37.98,196.19,0.17,163.53,0.0,143.93,257.52,4.89,70.08,80.32,28.74,25.6,0.31,potable
10.54,3.38,7.17,665.4,865.95,201.45,0.01,71.28,0.03,98.06,278.82,2.39,4.99,107.15,14.55,31.62,1.38,potable
1.84,2.77,7.65,123.47,87.81,132.39,0.09,181.42,0.05,56.89,305.12,4.74,95.4,147.6,18.01,3.86,1.65,potable
5.54,1.1,7.93,1225.73,539.77,136.49,0.09,231.14,0.03,29.71,169.42,0.23,16.4,125.83,20.81,28.62,0.93,potable
11.71,0.02,6.63,872.88,38.41,243.04,0.14,150.9,0.11,190.72,344.0,2.42,42.14,130.3,43.66,29.7,0.92,potable
5.12,4.88,7.82,552.52,979.88,262.88,0.06,135.32,0.18,49.37,216.23,4.8,85.79,115.42,24.42,35.32,1.17,potable
11.23,2.01,7.56,1489.74,996.25,254.06,0.0,16.04,0.05,149.75,100.86,2.6,83.64,0.88,1.01,24.01,0.66,potable
14.7,3.49,6.55,583.49,628.66,298.28,0.02,223.43,0.07,172.98,269.18,1.34,50.41,34.14,8.51,2.63,0.48,potable
10.46,3.75,6.74,1162.02,927.34,293.97,0.03,58.15,0.23,61.59,285.57,0.37,49.78,12.59,6.46,1.19,1.84,potable
0.4,0.05,7.95,1129.11,84.1,96.99,0.13,158.01,0.19,179.17,323.44,3.37,73.74,72.78,14.6,12.67,1.69,potable
11.71,4.2,7.37,305.78,883.54,154.85,0.1,168.42,0.25,15.08,372.87,4.95,23.56,18.6,17.53,12.5,1.36,potable
0.08,3.52,6.53,934.57,500.69,295.81,0.03,69.24,0.21,124.66,225.93,4.35,83.1,76.08,18.19,43.46,0.92,potable
12.78,3.48,7.98,1208.69,306.88,55.92,0.16,114.81,0.23,52.94,46.96,0.43,98.39,74.08,48.93,32.55,1.46,potable
3.77,4.84,7.21,263.42,666.18,195.59,0.09,20.38,0.21,58.98,322.28,2.71,11.05,30.4,11.17,2.02,2.18,potable
13.52,1.78,7.55,992.3,545.38,261.45,0.01,23.55,0.01,124.11,250.32,4.63,76.64,114.56,14.02,25.95,0.82,potable
6.0,3.0,7.2,282.68,113.3,223.05,0.11,61.78,0.15,98.43,320.93,0.26,94.71,108.65,8.72,33.72,0.71,potable
13.36,1.22,6.87,533.97,468.24,269.03,0.0,56.55,0.29,169.63,58.09,2.18,36.19,127.64,41.82,15.84,1.53,potable
0.72,0.9,6.69,195.43,287.92,135.28,0.18,73.55,0.08,174.91,54.7,4.79,3.74,31.09,32.88,0.94,0.86,potable
6.72,4.76,8.47,432.14,883.0,169.29,0.07,101.28,0.21,193.32,382.33,3.75,25.88,50.78,11.42,20.02,0.27,potable
9.17,2.14,7.99,713.98,734.6,268.82,0.14,159.13,0.22,110.01,341.08,2.15,10.36,72.08,35.91,32.05,0.07,potable
7.12,3.6,6.51,207.27,521.98,291.75,0.15,243.75,0.08,84.46,211.62,2.42,96.81,8.47,11.56,23.64,1.89,potable
2.8,0.07,7.58,636.86,24.12,112.83,0.14,21.9,0.04,22.91,238.51,4.98,34.4,3.58,37.8,23.62,1.57,potable
9.17,3.51,7.5,1164.9,464.5,32.64,0.16,39.03,0.21,107.72,159.61,0.97,96.57,85.05,36.95,36.71,0.38,potable
10.64,0.83,6.95,407.99,457.25,182.68,0.18,46.44,0.22,21.62,154.82,2.94,97.02,26.69,28.16,36.26,1.26,potable
6.13,0.07,7.63,794.46,169.09,58.64,0.19,212.99,0.19,77.01,374.08,0.24,86.5,78.76,31.6,24.09,1.38,potable
10.17,2.74,6.61,21.94,23.02,211.89,0.02,28.72,0.16,100.34,326.35,4.12,95.87,48.88,36.94,20.72,0.27,potable
8.57,2.09,8.4,1167.48,498.79,0.06,0.02,19.07,0.24,93.45,20.54,0.91,63.57,67.77,43.07,1.39,1.89,potable
2.09,2.9,6.88,218.21,529.79,287.74,0.18,80.18,0.0,164.3,184.47,4.9,10.9,21.55,34.6,21.68,1.33,potable
10.65,1.93,8.04,1260.39,453.3,162.87,0.09,104.04,0.02,95.19,289.33,2.13,91.28,84.73,40.97,22.56,0.67,potable
13.87,0.8,7.05,564.46,724.49,213.75,0.19,106.93,0.15,97.12,14.7,1.12,73.81,54.37,38.75,28.18,0.19,potable
0.75,3.77,7.15,468.39,192.25,30.32,0.09,63.07,0.24,49.28,322.48,3.32,95.52,85.48,41.88,16.64,1.13,potable
13.12,4.25,8.45,964.89,616.6,135.41,0.19,152.04,0.02,199.04,213.54,2.49,0.68,6.65,46.64,28.69,1.93,potable
12.48,4.78,7.08,1089.81,94.25,236.04,0.16,121.93,0.13,154.48,333.89,0.86,28.27,63.11,8.96,9.75,0.26,potable
13.51,3.69,8.24,1236.01,824.46,296.86,0.07,181.78,0.09,136.21,234.38,2.52,56.91,11.39,6.53,1.85,0.48,potable
1.98,3.15,6.58,480.6,931.98,72.93,0.2,62.01,0.03,59.87,71.3,3.31,31.3,116.6,20.89,20.96,0.75,potable
8.93,3.7,7.69,657.78,412.08,281.7,0.02,178.16,0.15,61.94,128.94,3.62,42.06,61.61,28.61,26.48,1.86,potable
5.5,0.05,6.89,538.2,426.33,264.83,0.09,72.81,0.13,164.55,239.44,3.01,49.22,119.82,2.73,22.46,1.46,potable
7.89,2.47,7.23,585.89,239.06,43.38,0.04,236.62,0.02,80.82,11.38,2.53,5.17,119.94,42.9,30.64,1.9,potable
7.61,4.56,6.79,626.97,533.18,242.86,0.13,85.88,0.11,76.89,34.11,4.0,10.72,53.64,48.59,6.44,0.4,potable
6.73,4.84,8.24,587.85,176.29,76.05,0.16,171.06,0.24,179.99,284.96,0.88,34.47,133.41,47.1,35.93,1.77,potable
11.96,1.26,8.08,313.7,529.62,180.25,0.02,197.21,0.17,16.25,326.9,4.63,36.1,117.93,2.09,18.3,0.63,potable
3.51,1.84,8.47,624.15,438.64,156.61,0.07,71.68,0.16,119.99,168.83,0.32,15.85,14.71,3.71,43.77,1.01,potable
12.4,2.96,7.35,931.08,720.34,238.89,0.04,127.69,0.14,137.23,127.17,4.29,52.82,31.72,14.36,20.62,0.95,potable
10.13,0.88,6.59,284.84,914.9,293.35,0.19,221.43,0.06,45.86,239.88,4.03,91.44,3.28,33.35,16.07,0.24,potable
0.78,3.99,7.44,535.81,11.31,25.07,0.03,112.21,0.14,196.76,179.02,4.19,33.13,142.95,44.64,2.8,1.43,potable
14.4,1.29,8.35,1414.81,632.88,172.91,0.13,99.4,0.22,133.39,240.88,3.55,38.01,145.22,5.44,11.92,1.68,potable
8.65,1.47,7.44,1035.44,516.86,6.39,0.19,89.39,0.1,189.24,364.05,2.72,62.93,41.25,24.52,11.4,0.38,potable
14.38,3.32,7.1,1323.69,409.5,131.29,0.1,28.32,0.28,190.57,37.35,3.9,47.34,45.03,26.06,32.43,0.14,potable
5.29,3.85,8.37,697.37,522.61,137.33,0.16,77.49,0.03,80.94,195.13,3.28,7.07,11.63,34.48,31.87,0.24,potable
12.85,4.97,6.83,903.4,355.4,18.78,0.16,207.49,0.19,35.95,282.9,1.1,59.6,13.84,39.16,43.98,0.69,potable
10.0,3.02,6.64,123.91,755.82,212.27,0.09,160.77,0.0,164.34,198.47,1.8,25.91,131.7,37.56,24.53,1.31,potable
8.73,2.17,6.56,60.97,863.63,271.83,0.13,161.72,0.25,8.9,381.66,1.29,2.16,14.61,26.03,2.3,0.09,potable
10.58,1.95,7.74,447.19,711.03,102.59,0.17,158.58,0.18,37.73,63.69,1.94,70.53,9.46,43.87,33.69,0.64,potable
2.09,3.04,7.88,110.67,684.36,293.04,0.17,54.2,0.3,189.37,80.88,0.65,85.16,110.23,21.18,9.91,0.94,potable
10.68,4.24,7.78,426.56,812.87,146.18,0.1,169.76,0.06,124.91,99.09,4.82,43.21,28.23,24.45,40.99,0.99,potable
5.4,1.44,7.4,1440.81,6.55,181.09,0.04,189.33,0.21,159.47,56.24,0.62,44.16,132.32,23.38,21.06,1.45,potable
10.47,2.13,8.2,785.88,897.25,203.75,0.07,54.69,0.05,1.97,279.92,4.44,64.05,29.95,22.35,17.85,0.62,potable
7.86,3.87,6.53,233.36,165.66,286.48,0.19,182.8,0.03,58.68,220.68,4.75,51.85,80.71,30.08,10.08,1.56,potable
7.99,1.59,6.52,1153.18,179.66,125.98,0.07,33.37,0.25,165.68,51.48,2.05,96.13,71.1,42.7,23.49,0.22,potable
1.21,4.14,7.48,515.22,507.53,218.25,0.05,117.38,0.04,131.3,66.16,0.08,43.52,91.15,7.84,27.82,1.19,potable
0.22,3.4,6.75,1348.24,941.02,35.97,0.14,3.59,0.01,158.97,171.79,2.48,69.67,75.19,13.92,15.47,1.24,potable
14.24,4.4,8.37,449.66,32.5,194.73,0.12,163.09,0.05,108.29,250.1,3.32,29.41,42.98,0.07,17.37,1.81,potable
4.16,0.05,7.89,1152.12,447.55,264.49,0.05,248.47,0.11,44.12,1.83,1.28,88.56,69.88,33.32,35.79,0.29,potable
2.64,1.29,8.35,455.25,928.07,184.82,0.05,87.87,0.01,135.13,150.19,1.0,55.53,78.0,31.04,7.06,1.92,potable
3.01,4.02,8.5,1477.01,452.27,205.28,0.04,188.82,0.22,188.23,388.47,1.38,96.8,116.95,36.96,4.82,0.29,potable
0.53,4.09,7.35,755.05,859.98,99.14,0.16,51.21,0.14,182.91,381.65,2.67,62.29,17.57,14.26,43.23,0.08,potable
0.34,1.17,7.7,1458.02,52.43,266.41,0.08,220.43,0.24,100.77,57.27,4.0,24.99,58.99,6.3,30.46,0.25,potable
2.6,4.01,7.98,369.3,546.18,3.19,0.15,230.52,0.21,156.27,265.51,3.69,39.75,57.39,29.99,10.88,1.83,potable
7.5,2.91,6.97,945.66,529.05,142.19,0.05,218.98,0.27,152.04,247.75,3.41,65.0,44.49,9.69,28.39,1.77,potable
12.76,1.8,8.3,585.91,699.32,278.71,0.05,161.33,0.25,52.25,181.56,0.37,63.53,94.08,18.34,14.55,0.71,potable
4.78,2.76,7.85,1221.2,838.61,281.06,0.18,73.86,0.24,43.78,373.43,0.31,4.41,122.94,46.38,1.01,0.19,potable
10.86,0.68,7.07,928.72,199.05,9.37,0.09,184.93,0.27,160.06,299.2,0.44,2.92,108.22,43.15,28.24,1.1,potable
7.05,1.66,7.97,508.46,571.77,126.12,0.13,242.76,0.2,8.76,396.79,0.34,25.24,73.33,31.26,27.68,1.77,potable
10.98,3.68,6.78,248.73,841.89,125.83,0.18,214.96,0.06,195.2,241.47,1.93,71.33,108.29,43.88,31.42,1.86,potable
8.95,2.29,7.15,639.48,889.62,144.18,0.17,214.23,0.21,51.65,208.87,2.84,24.18,15.1,39.62,15.43,0.13,potable
4.49,0.03,8.14,269.51,24.23,240.78,0.09,105.77,0.19,134.99,385.84,4.24,93.21,52.35,47.87,12.32,0.99,potable
4.41,0.91,7.65,602.51,966.22,102.65,0.04,176.14,0.16,165.45,193.29,0.31,44.99,70.25,44.44,42.22,0.96,potable
0.27,0.23,8.02,669.36,791.22,145.02,0.03,226.16,0.21,132.25,68.09,2.99,99.34,54.9,16.14,23.02,0.67,potable
4.6,0.15,6.76,44.76,457.32,26.73,0.03,35.38,0.23,99.68,111.97,0.24,64.68,140.6,30.17,3.59,1.87,potable
3.92,3.8,8.06,1492.41,558.82,173.77,0.02,24.12,0.29,199.94,81.69,1.69,50.39,64.11,32.68,25.61,1.66,potable
8.1,2.66,7.89,561.39,970.25,146.15,0.17,119.48,0.27,80.74,277.17,3.77,77.07,22.05,15.99,44.34,1.58,potable
4.77,2.09,6.87,1284.84,260.87,150.04,0.12,38.17,0.23,80.22,88.05,0.85,51.62,57.87,30.76,4.65,2.01,potable
9.73,1.56,7.67,919.03,394.06,110.3,0.14,213.36,0.28,69.57,198.96,0.64,95.14,19.66,16.09,7.88,0.99,potable
1.46,4.9,8.38,1297.71,744.73,280.58,0.06,44.65,0.26,139.49,13.5,2.37,1.77,32.34,31.51,22.06,1.88,potable
6.3,0.57,7.9,238.13,435.15,54.83,0.13,240.49,0.13,141.74,370.17,4.78,27.55,58.66,13.65,18.44,0.62,potable
7.7,4.99,8.26,1462.34,950.1,33.3,0.05,238.82,0.24,92.08,266.65,4.01,50.58,85.89,13.24,11.03,1.85,potable
2.76,2.56,7.32,969.61,91.2,33.77,0.04,87.82,0.27,104.08,174.76,3.47,53.66,40.14,14.29,26.68,1.64,potable
9.8,0.18,7.59,525.52,50.22,241.31,0.16,21.69,0.17,71.89,172.55,3.71,98.09,13.55,38.73,22.02,1.84,potable
3.17,4.48,8.23,798.09,748.09,285.04,0.12,25.8,0.11,119.32,329.07,2.94,28.78,95.33,0.79,43.1,1.41,potable
14.33,3.97,6.67,693.91,181.47,202.93,0.02,205.59,0.06,166.22,3.28,2.26,50.76,145.79,49.58,18.06,1.21,potable
9.25,2.92,6.72,698.38,854.24,128.84,0.15,239.51,0.27,27.45,193.72,4.72,12.71,12.12,24.77,20.93,0.44,potable
2.17,2.43,7.9,383.9,932.98,255.53,0.2,196.98,0.08,151.52,216.96,4.6,40.73,137.4,6.85,42.29,1.01,potable
11.95,2.27,7.19,219.92,638.24,3.97,0.11,3.9,0.27,15.51,225.47,2.62,36.58,98.73,42.76,25.38,0.95,potable
5.85,2.77,7.57,1348.8,219.45,163.14,0.06,170.65,0.2,11.32,326.08,4.0,90.97,85.29,44.92,31.56,0.92,potable
7.66,1.42,7.8,44.61,278.78,196.17,0.04,147.66,0.14,175.99,133.17,4.74,8.57,23.68,12.04,13.92,1.64,potable
3.24,1.86,7.94,666.29,422.43,112.68,0.11,71.39,0.21,150.98,359.65,0.27,30.57,105.53,47.08,19.03,0.34,potable
8.89,1.34,8.13,566.24,397.43,138.69,0.2,115.74,0.23,175.43,77.5,1.72,97.03,112.39,8.85,7.03,1.89,potable
6.95,2.42,7.94,587.36,398.89,252.61,0.02,207.14,0.18,57.04,321.55,0.05,82.2,135.86,34.06,14.25,0.44,potable
4.1,4.58,7.37,1450.33,271.64,190.01,0.14,127.56,0.17,58.61,4.09,0.12,44.36,58.05,15.32,12.6,1.95,potable
2.47,3.19,7.08,114.24,857.76,294.69,0.19,138.41,0.17,153.19,194.28,4.28,3.63,80.77,17.9,2.28,2.17,potable
10.86,3.05,7.91,851.86,996.74,7.91,0.01,88.59,0.06,146.32,309.24,2.3,34.2,91.97,20.82,11.52,0.43,potable
2.92,3.68,6.56,1062.51,309.98,162.36,0.18,32.98,0.19,152.83,250.24,0.37,38.69,113.11,11.46,8.21,0.81,potable
10.03,4.59,6.61,668.52,152.17,170.08,0.16,195.49,0.02,195.03,369.71,0.68,26.32,130.29,18.21,5.03,1.5,potable
6.24,2.86,7.75,213.89,931.56,222.67,0.14,192.4,0.06,88.4,388.69,2.79,69.87,89.73,49.23,10.08,0.56,potable
2.04,3.04,7.65,603.81,972.62,117.23,0.15,147.21,0.04,57.46,323.4,1.64,40.42,147.83,20.86,42.43,1.78,potable
3.02,3.59,8.09,253.22,171.8,99.55,0.09,153.09,0.21,44.63,115.74,1.96,8.52,102.31,40.94,31.44,0.89,potable
8.22,1.98,8.0,1065.39,618.83,226.57,0.19,13.65,0.19,15.43,208.0,0.3,35.01,49.06,37.8,19.76,1.07,potable
1.43,2.49,7.22,498.53,973.22,127.8,0.02,157.3,0.28,50.56,154.22,4.74,13.59,69.5,8.49,42.38,2.01,potable
14.16,1.75,8.06,1450.04,591.47,5.22,0.14,143.6,0.04,86.71,120.32,3.91,77.49,37.69,49.89,25.52,1.97,potable
10.69,3.28,8.16,206.03,503.96,185.48,0.05,201.5,0.13,1.9,53.81,2.61,33.94,1.67,34.23,34.24,0.56,potable
11.51,0.57,8.42,939.14,486.46,212.46,0.09,170.7,0.26,51.0,69.76,3.4,44.78,85.25,12.39,1.19,1.53,potable
0.36,3.43,7.8,195.04,991.18,80.2,0.01,36.56,0.01,69.21,343.07,4.26,41.07,49.65,43.87,17.55,0.3,potable
2.57,1.84,8.25,485.01,250.33,14.74,0.05,248.62,0.28,173.67,356.61,1.62,78.2,73.01,46.66,29.85,0.87,potable
0.5,0.44,8.16,1442.06,878.21,177.13,0.12,226.62,0.23,51.61,266.32,1.25,25.82,110.86,3.6,11.38,1.12,potable
12.6,0.45,7.39,442.65,617.75,169.26,0.01,180.48,0.29,126.52,69.29,0.59,73.38,12.5,1.77,25.18,1.73,potable
12.27,1.93,6.71,1082.51,159.46,239.53,0.05,113.5,0.1,183.35,392.42,0.93,51.44,59.82,33.79,16.77,0.35,potable
2.66,1.79,7.92,1258.3,854.61,162.69,0.18,177.69,0.01,6.79,211.16,2.97,54.36,81.3,22.63,25.17,1.65,potable
3.98,2.1,7.49,1117.64,520.31,275.39,0.13,67.76,0.23,70.95,80.05,4.29,94.85,53.81,20.47,9.42,1.99,potable
10.46,1.88,7.59,1041.08,426.04,170.42,0.19,39.08,0.26,22.73,298.1,3.57,78.07,27.1,34.39,28.89,2.12,potable
10.3,4.86,8.0,917.83,814.39,93.26,0.11,71.57,0.2,58.08,347.6,3.55,71.97,84.66,48.25,43.47,1.16,potable
11.82,0.99,8.03,901.02,418.24,109.9,0.07,47.33,0.22,156.93,358.94,4.98,98.77,143.56,47.73,11.6,1.97,potable
13.78,4.63,7.89,348.76,149.97,80.73,0.05,130.18,0.09,171.48,90.94,3.73,58.12,82.79,20.61,10.58,1.48,potable
2.01,2.2,7.15,814.47,50.37,270.22,0.06,65.72,0.12,82.04,163.84,2.25,82.2,132.7,45.94,3.85,2.15,potable
4.35,4.07,7.95,276.19,749.11,64.58,0.17,200.56,0.13,69.5,234.83,3.96,72.24,44.91,39.92,21.87,1.87,potable
5.05,0.79,7.39,1155.63,25.25,105.1,0.03,225.0,0.13,67.56,112.82,2.33,48.85,117.1,16.61,35.54,0.34,potable
10.91,1.68,7.51,482.45,830.37,90.6,0.09,175.84,0.1,126.62,120.47,2.87,7.29,100.04,22.89,44.05,0.5,potable
11.81,4.82,6.73,258.88,308.1,223.14,0.19,150.65,0.21,7.0,216.81,2.39,72.89,5.3,36.6,24.02,0.21,potable
4.45,2.0,7.58,239.48,832.67,299.8,0.09,6.32,0.05,108.76,202.76,4.71,36.57,96.02,11.01,1.45,1.69,potable
7.78,2.93,7.69,764.12,972.23,58.86,0.05,30.1,0.28,11.83,25.49,0.39,49.38,96.51,36.89,40.44,1.33,potable
3.27,4.52,7.63,478.22,309.64,146.14,0.13,239.95,0.1,105.94,387.13,0.49,55.38,78.2,30.71,30.81,1.91,potable
4.19,4.52,8.02,373.49,725.72,192.54,0.05,213.24,0.06,72.76,158.47,2.11,75.84,141.55,1.14,40.51,2.13,potable
3.83,0.36,7.79,582.59,199.16,195.36,0.05,117.06,0.09,140.06,232.78,0.34,77.55,70.79,4.91,40.73,1.24,potable
2.16,2.1,7.52,1160.98,670.94,152.85,0.03,28.91,0.3,77.26,227.81,1.62,37.22,135.62,9.54,2.38,1.29,potable
10.64,2.84,7.47,1024.17,268.04,161.85,0.14,24.1,0.16,129.15,63.04,2.23,60.09,18.65,40.15,33.39,1.97,potable
0.54,0.12,8.07,313.53,916.3,53.46,0.08,163.24,0.1,103.29,387.77,4.37,16.44,79.61,44.02,26.0,0.99,potable
14.68,1.9,7.55,53.75,686.63,36.97,0.08,155.04,0.21,172.59,179.5,4.26,30.96,65.02,35.87,26.56,1.03,potable
10.66,3.83,6.89,858.01,509.26,99.39,0.01,37.01,0.1,148.87,397.6,2.54,11.13,45.03,18.49,0.06,1.57,potable
14.78,3.27,6.73,1425.73,436.92,46.29,0.07,134.97,0.21,179.19,135.79,4.25,17.72,76.49,9.93,27.8,0.62,potable
6.95,1.13,7.02,327.53,63.04,262.37,0.1,8.09,0.2,11.68,76.52,2.81,89.82,32.33,14.62,1.91,0.44,potable
8.15,4.01,7.31,541.73,579.09,69.74,0.05,205.84,0.24,54.57,241.46,3.22,22.41,84.84,40.93,35.36,1.81,potable
3.0,2.85,7.85,390.94,586.54,277.02,0.03,236.71,0.19,18.25,117.7,1.45,73.52,109.73,41.72,25.5,0.43,potable
2.78,0.77,6.53,933.3,196.81,211.3,0.15,71.18,0.01,125.35,200.14,2.03,94.88,61.14,6.76,9.52,0.08,potable
2.54,3.33,7.53,260.62,287.37,78.39,0.14,165.92,0.05,140.93,174.96,2.61,98.86,137.43,10.46,11.97,2.18,potable
2.37,4.75,7.08,111.66,743.75,176.88,0.1,131.48,0.2,45.23,336.0,1.6,7.81,8.2,30.7,22.23,1.1,potable
7.27,0.6,6.87,537.09,543.86,38.32,0.13,231.91,0.18,32.95,258.68,4.26,82.37,142.44,26.7,34.5,2.06,potable
10.93,3.91,8.02,747.25,827.02,182.2,0.19,54.17,0.23,50.6,367.54,1.96,76.58,4.87,39.33,15.49,0.44,potable
4.95,4.28,8.47,470.77,706.19,203.22,0.19,111.41,0.01,168.45,128.24,3.52,92.16,13.93,40.23,34.32,1.7,potable
3.5,0.22,6.55,426.7,123.46,273.04,0.07,66.92,0.2,188.88,114.13,4.24,36.78,11.63,37.77,1.76,1.73,potable
2.93,2.4,7.22,492.58,351.41,155.56,0.08,145.27,0.16,19.1,262.8,4.6,32.21,71.14,21.3,40.25,1.51,potable
4.71,2.12,7.6,1303.6,622.4,12.21,0.13,234.17,0.07,190.72,222.05,2.8,76.95,27.95,47.94,23.1,2.09,potable
13.45,0.67,7.8,719.64,9.91,20.72,0.18,67.69,0.17,156.26,49.8,0.72,30.41,133.49,3.13,17.28,0.85,potable
13.43,4.49,8.23,278.88,501.04,242.95,0.15,172.25,0.05,194.61,91.56,4.46,53.55,45.7,21.58,9.49,2.07,potable
3.59,4.21,8.29,131.51,581.5,111.81,0.18,107.71,0.1,157.9,30.87,1.09,28.1,105.22,12.67,34.84,1.07,potable
11.23,1.87,7.0,501.85,365.88,92.83,0.0,110.76,0.25,194.06,382.34,2.36,34.14,135.03,38.64,39.81,1.69,potable
5.07,1.44,8.17,804.96,616.48,137.22,0.19,187.48,0.22,72.54,123.83,4.95,83.42,98.05,45.44,20.53,0.84,potable
2.09,3.57,8.28,1118.06,100.16,85.38,0.06,26.86,0.06,21.43,195.78,1.55,95.07,10.75,7.14,16.63,0.18,potable
5.32,4.7,7.63,157.38,440.27,16.26,0.08,181.03,0.17,181.97,279.88,4.11,97.02,77.52,10.25,34.66,1.71,potable
7.41,3.99,7.08,1208.02,136.2,109.39,0.16,111.7,0.15,50.17,62.79,4.98,98.46,137.36,43.64,22.62,1.24,potable
10.56,3.67,8.27,1349.63,228.24,232.49,0.17,212.14,0.16,98.9,122.81,2.06,6.18,92.15,35.25,8.6,0.98,potable
6.54,0.09,6.61,471.12,752.91,9.03,0.1,147.72,0.22,118.04,275.11,4.77,39.57,36.31,30.11,36.85,1.89,potable
9.3,0.07,7.78,112.27,817.81,147.96,0.01,120.27,0.14,62.56,122.58,0.73,78.46,67.45,10.25,7.99,1.96,potable
7.1,3.92,7.53,36.09,483.36,268.08,0.1,123.45,0.05,0.18,11.26,2.16,84.38,49.89,30.65,44.86,0.11,potable
8.65,3.45,7.45,854.12,472.37,44.43,0.04,60.12,0.09,192.48,132.8,2.89,44.15,11.99,16.3,2.74,1.86,potable
2.88,4.02,6.74,322.76,116.67,138.57,0.18,176.01,0.26,71.45,27.4,4.72,33.16,94.66,3.14,40.09,1.75,potable
8.57,3.51,7.55,692.29,665.11,173.52,0.03,114.16,0.22,112.4,329.78,4.66,89.97,62.17,11.83,22.89,0.45,potable
11.62,0.98,7.35,463.57,346.89,130.23,0.01,21.19,0.16,126.86,335.48,3.03,81.0,48.09,15.2,27.48,1.44,potable
0.76,0.93,8.2,659.08,402.5,277.35,0.07,145.0,0.25,196.61,320.94,2.63,95.65,31.2,31.72,12.7,0.87,potable
6.06,2.14,8.37,1394.58,194.57,168.15,0.04,125.46,0.01,55.39,346.31,4.82,74.36,54.5,28.51,11.08,0.69,potable
9.19,2.97,7.02,546.27,496.02,71.98,0.17,133.49,0.06,176.91,194.95,3.87,59.28,7.82,42.92,12.43,0.7,potable
0.23,1.75,7.09,1055.13,998.31,213.33,0.03,145.58,0.02,34.94,271.77,2.34,76.76,6.57,9.53,29.2,1.91,potable
14.27,4.12,6.89,785.53,257.16,11.74,0.08,242.62,0.19,44.98,82.48,2.49,81.07,7.87,24.5,30.06,1.32,potable
